year,cancer_groupsite,sex,age_group_years,count,agespecific_rate_per_100000,agestandardised_rate_2001_australian_standard_population_per_100000,icd10_codes
1971,Melanoma of the skin,Persons,All ages combined,351,2.7,3.4,C43
1972,Melanoma of the skin,Persons,All ages combined,369,2.8,3.5,C43
1973,Melanoma of the skin,Persons,All ages combined,376,2.8,3.5,C43
1974,Melanoma of the skin,Persons,All ages combined,401,2.9,3.7,C43
1975,Melanoma of the skin,Persons,All ages combined,424,3.1,3.9,C43
1976,Melanoma of the skin,Persons,All ages combined,437,3.1,3.9,C43
1977,Melanoma of the skin,Persons,All ages combined,509,3.6,4.5,C43
1978,Melanoma of the skin,Persons,All ages combined,505,3.5,4.3,C43
1979,Melanoma of the skin,Persons,All ages combined,530,3.7,4.5,C43
1980,Melanoma of the skin,Persons,All ages combined,543,3.7,4.5,C43
1981,Melanoma of the skin,Persons,All ages combined,571,3.8,4.6,C43
1982,Melanoma of the skin,Persons,All ages combined,596,3.9,4.7,C43
1983,Melanoma of the skin,Persons,All ages combined,623,4.0,4.9,C43
1984,Melanoma of the skin,Persons,All ages combined,640,4.1,4.8,C43
1985,Melanoma of the skin,Persons,All ages combined,672,4.3,5.0,C43
1986,Melanoma of the skin,Persons,All ages combined,688,4.3,5.0,C43
1987,Melanoma of the skin,Persons,All ages combined,798,4.9,5.7,C43
1988,Melanoma of the skin,Persons,All ages combined,772,4.7,5.4,C43
1989,Melanoma of the skin,Persons,All ages combined,782,4.7,5.4,C43
1990,Melanoma of the skin,Persons,All ages combined,829,4.9,5.6,C43
1991,Melanoma of the skin,Persons,All ages combined,804,4.7,5.3,C43
1992,Melanoma of the skin,Persons,All ages combined,867,5.0,5.5,C43
1993,Melanoma of the skin,Persons,All ages combined,853,4.8,5.4,C43
1994,Melanoma of the skin,Persons,All ages combined,897,5.0,5.5,C43
1995,Melanoma of the skin,Persons,All ages combined,935,5.2,5.6,C43
1996,Melanoma of the skin,Persons,All ages combined,905,5.0,5.3,C43
1997,Melanoma of the skin,Persons,All ages combined,902,4.9,5.1,C43
1998,Melanoma of the skin,Persons,All ages combined,966,5.2,5.4,C43
1999,Melanoma of the skin,Persons,All ages combined,1005,5.3,5.5,C43
2000,Melanoma of the skin,Persons,All ages combined,971,5.1,5.2,C43
2001,Melanoma of the skin,Persons,All ages combined,1074,5.6,5.6,C43
2002,Melanoma of the skin,Persons,All ages combined,1054,5.4,5.3,C43
2003,Melanoma of the skin,Persons,All ages combined,1146,5.8,5.7,C43
2004,Melanoma of the skin,Persons,All ages combined,1200,6.0,5.8,C43
2005,Melanoma of the skin,Persons,All ages combined,1273,6.3,6.0,C43
2006,Melanoma of the skin,Persons,All ages combined,1250,6.1,5.8,C43
2007,Melanoma of the skin,Persons,All ages combined,1315,6.3,5.9,C43
2008,Melanoma of the skin,Persons,All ages combined,1397,6.6,6.1,C43
2009,Melanoma of the skin,Persons,All ages combined,1413,6.5,6.0,C43
2010,Melanoma of the skin,Persons,All ages combined,1432,6.5,5.9,C43
2011,Melanoma of the skin,Persons,All ages combined,1545,6.9,6.2,C43
2012,Melanoma of the skin,Persons,All ages combined,1540,6.8,6.0,C43
2013,Melanoma of the skin,Persons,All ages combined,1625,7.0,6.2,C43
2014,Melanoma of the skin,Persons,All ages combined,1468,6.3,5.5,C43
2015,Melanoma of the skin,Persons,All ages combined,1498,6.3,5.4,C43
2016,Melanoma of the skin,Persons,All ages combined,1282,5.3,4.5,C43
2017,Melanoma of the skin,Persons,All ages combined,1421,5.8,4.8,C43
2018,Melanoma of the skin,Persons,All ages combined,1410,5.6,4.7,C43
2019,Melanoma of the skin,Persons,All ages combined,1409,5.6,4.5,C43
2020,Melanoma of the skin,Persons,All ages combined,1416,5.5,4.4,C43
2021,Melanoma of the skin,Persons,All ages combined,1455,5.7,4.4,C43
