Year,Persons,Males,Females
1982,29.8,32,28.6
1983,31.4,33.3,30.6
1984,33.4,36.2,31.7
1985,36.1,39.5,34.3
1986,37,41.4,34.2
1987,42.4,47.5,38.7
1988,45.4,52.9,40
1989,42.6,51.2,36.4
1990,43.2,51.3,37.1
1991,43,50.7,37.5
1992,46.9,56.8,39.7
1993,47.8,58.5,40
1994,47.8,58.2,40
1995,50.4,62,41.6
1996,52.1,64.5,43
1997,54.7,66.6,45.3
1998,51.2,63.1,41.9
1999,52.7,65.5,42.7
2000,53.8,66.3,43.9
2001,54.3,67.6,44
2002,58.5,72.7,47
2003,56,71.2,43.9
2004,56.8,70.7,46
2005,61.3,76.2,49.6
2006,58.2,74.3,45
2007,56.6,71.6,44.6
2008,59,75.5,45.8
2009,58.8,74.4,46
2010,58.6,75.2,45
2011,57.8,72.8,45.4
2012,59.4,74.9,46.4
2013,61.3,77.2,47.9
2014,61.5,77.4,48.2
2015,62.6,78.2,49.3
2016,64.7,80.7,51
2017,65.2,82,50.7
2018,64.4,79.8,51.1
2019,65.2,80.9,51.6
2020,59.6,73.9,47.4
2021,59.7,74.6,46.7
