Year,Persons,Males,Females
1982,5.6,7.6,3.9
1983,5.8,7.2,4.6
1984,5.8,7.7,4.1
1985,6,7.8,4.6
1986,6.1,8.4,4.4
1987,7,10.3,4.5
1988,6.5,8.8,4.6
1989,6.5,9.3,4.3
1990,6.7,9.2,4.8
1991,6.5,9.4,4.3
1992,6.8,9.5,4.9
1993,6.6,10.1,3.9
1994,6.8,10.5,4
1995,6.9,10.2,4.5
1996,6.7,9.9,4.3
1997,6.3,9.1,4.2
1998,6.8,9.8,4.4
1999,6.9,10.1,4.5
2000,6.5,9.4,4.3
2001,7,10,4.6
2002,6.8,10.6,3.8
2003,7.2,10.7,4.4
2004,7.3,11.1,4.3
2005,7.6,11.7,4.5
2006,7.4,10.7,4.9
2007,7.5,11.5,4.4
2008,7.9,11.9,4.6
2009,7.7,11.7,4.6
2010,7.6,11.8,4.4
2011,8.1,12.7,4.4
2012,7.9,12,4.6
2013,8,12.3,4.5
2014,7.1,10.6,4.3
2015,7.1,10.5,4.3
2016,5.9,8.8,3.6
2017,6.4,9.1,4.2
2018,6.2,9.3,3.7
2019,6.1,9,3.7
2020,5.9,8.9,3.5
2021,5.9,8.6,3.7
2022,5.6,8.5,3.1
2023,5.9,8.8,3.4
