city,date,year,month,daily_max_uv,daily_avg_uv,latitude,longitude,uv_level
Melbourne,2018-01-01,2018,1,10.64,2.8434583333333334,-37.73,145.1,Very High
Melbourne,2018-01-02,2018,1,11.15,2.368659722222222,-37.73,145.1,Extreme
Melbourne,2018-01-03,2018,1,11.74,2.3491713091922004,-37.73,145.1,Extreme
Melbourne,2018-01-04,2018,1,11.27,2.950257301808067,-37.73,145.1,Extreme
Melbourne,2018-01-05,2018,1,11.47,3.076418636995828,-37.73,145.1,Extreme
Melbourne,2018-01-06,2018,1,11.58,3.1295486111111113,-37.73,145.1,Extreme
Melbourne,2018-01-07,2018,1,10.7,1.6618958333333333,-37.73,145.1,Very High
Melbourne,2018-01-08,2018,1,11.8,1.8298887343532686,-37.73,145.1,Extreme
Melbourne,2018-01-09,2018,1,11.5,2.5037717466945026,-37.73,145.1,Extreme
Melbourne,2018-01-10,2018,1,11.98,2.3157580071174375,-37.73,145.1,Extreme
Melbourne,2018-01-11,2018,1,11.58,2.667923611111111,-37.73,145.1,Extreme
Melbourne,2018-01-12,2018,1,3.65,0.48275766016713095,-37.73,145.1,Moderate
Melbourne,2018-01-13,2018,1,8.55,1.038062234794908,-37.73,145.1,Very High
Melbourne,2018-01-14,2018,1,13.05,2.467924791086351,-37.73,145.1,Extreme
Melbourne,2018-01-15,2018,1,12.81,1.7520639332870047,-37.73,145.1,Extreme
Melbourne,2018-01-16,2018,1,10.89,2.9220389700765486,-37.73,145.1,Very High
Melbourne,2018-01-17,2018,1,11.53,3.018649965205289,-37.73,145.1,Extreme
Melbourne,2018-01-18,2018,1,11.39,3.0243611111111113,-37.73,145.1,Extreme
Melbourne,2018-01-19,2018,1,11.11,2.9289367616400277,-37.73,145.1,Extreme
Melbourne,2018-01-20,2018,1,9.93,2.0907638888888886,-37.73,145.1,Very High
Melbourne,2018-01-21,2018,1,10.52,1.3275902777777777,-37.73,145.1,Very High
Melbourne,2018-01-22,2018,1,10.26,2.6321319444444446,-37.73,145.1,Very High
Melbourne,2018-01-23,2018,1,10.21,2.5767291666666665,-37.73,145.1,Very High
Melbourne,2018-01-24,2018,1,10.13,2.477034722222222,-37.73,145.1,Very High
Melbourne,2018-01-25,2018,1,10.01,2.532967338429465,-37.73,145.1,Very High
Melbourne,2018-01-26,2018,1,10.51,2.1620833333333334,-37.73,145.1,Very High
Melbourne,2018-01-27,2018,1,10.76,2.5957708333333334,-37.73,145.1,Very High
Melbourne,2018-01-28,2018,1,10.69,2.7971319444444442,-37.73,145.1,Very High
Melbourne,2018-01-29,2018,1,10.61,1.4446041666666667,-37.73,145.1,Very High
Melbourne,2018-01-30,2018,1,11.33,1.4215208333333333,-37.73,145.1,Extreme
Melbourne,2018-01-31,2018,1,11.68,1.6804375,-37.73,145.1,Extreme
Melbourne,2018-02-01,2018,2,10.08,2.584840277777778,-37.73,145.1,Very High
Melbourne,2018-02-02,2018,2,9.92,2.5049236111111113,-37.73,145.1,Very High
Melbourne,2018-02-03,2018,2,10.29,2.347347222222222,-37.73,145.1,Very High
Melbourne,2018-02-04,2018,2,10.26,2.6741319444444445,-37.73,145.1,Very High
Melbourne,2018-02-05,2018,2,10.95,2.366808066759388,-37.73,145.1,Very High
Melbourne,2018-02-06,2018,2,9.66,2.474479166666667,-37.73,145.1,Very High
Melbourne,2018-02-07,2018,2,9.74,2.4729444444444444,-37.73,145.1,Very High
Melbourne,2018-02-08,2018,2,11.02,1.8657291666666667,-37.73,145.1,Extreme
Melbourne,2018-02-09,2018,2,10.66,1.6293125,-37.73,145.1,Very High
Melbourne,2018-02-10,2018,2,4.02,0.7292361111111111,-37.73,145.1,Moderate
Melbourne,2018-02-11,2018,2,10.58,1.7053611111111109,-37.73,145.1,Very High
Melbourne,2018-02-12,2018,2,10.5,1.8964965034965033,-37.73,145.1,Very High
Melbourne,2018-02-13,2018,2,9.78,2.26266713091922,-37.73,145.1,Very High
