year,cancer_type,population_group,age_group,count,age_specific_rate_per_100000,age_standardised_rate_2001_asp,age_standardised_rate_2023_pop,age_standardised_rate_who,age_standardised_rate_segi
1982,Melanoma of the skin,Persons,All ages combined,3538,23.3,26.7,29.6,22.5,20.6
1983,Melanoma of the skin,Persons,All ages combined,3799,24.7,28.1,31.3,23.6,21.6
1984,Melanoma of the skin,Persons,All ages combined,4044,26.0,29.6,33.2,24.6,22.4
1985,Melanoma of the skin,Persons,All ages combined,4512,28.6,32.1,36.0,26.8,24.4
1986,Melanoma of the skin,Persons,All ages combined,4709,29.4,32.8,36.8,27.3,25.0
1987,Melanoma of the skin,Persons,All ages combined,5562,34.2,37.8,42.3,31.5,28.8
1988,Melanoma of the skin,Persons,All ages combined,6019,36.4,40.2,45.2,33.3,30.5
1989,Melanoma of the skin,Persons,All ages combined,5726,34.1,37.4,42.5,30.8,28.1
1990,Melanoma of the skin,Persons,All ages combined,5838,34.2,37.7,43.0,30.7,28.0
1991,Melanoma of the skin,Persons,All ages combined,5967,34.5,37.7,42.9,30.8,27.9
1992,Melanoma of the skin,Persons,All ages combined,6566,37.6,40.7,46.8,33.0,30.1
1993,Melanoma of the skin,Persons,All ages combined,6770,38.4,41.3,47.7,33.3,30.3
1994,Melanoma of the skin,Persons,All ages combined,6950,39.0,41.6,47.7,33.8,30.7
1995,Melanoma of the skin,Persons,All ages combined,7474,41.5,43.8,50.3,35.7,32.5
1996,Melanoma of the skin,Persons,All ages combined,7839,43.0,45.2,52.0,36.5,33.2
1997,Melanoma of the skin,Persons,All ages combined,8447,45.9,47.6,54.6,38.5,35.1
1998,Melanoma of the skin,Persons,All ages combined,8000,43.0,44.3,51.1,35.6,32.2
1999,Melanoma of the skin,Persons,All ages combined,8397,44.6,45.5,52.6,36.5,33.1
2000,Melanoma of the skin,Persons,All ages combined,8716,45.8,46.2,53.7,36.9,33.4
2001,Melanoma of the skin,Persons,All ages combined,8997,46.7,46.7,54.2,37.2,33.7
2002,Melanoma of the skin,Persons,All ages combined,9855,50.6,50.1,58.4,39.8,36.1
2003,Melanoma of the skin,Persons,All ages combined,9604,48.7,47.8,55.9,37.8,34.1
2004,Melanoma of the skin,Persons,All ages combined,9876,49.5,48.2,56.7,38.1,34.4
2005,Melanoma of the skin,Persons,All ages combined,10828,53.7,51.8,61.1,40.8,36.8
2006,Melanoma of the skin,Persons,All ages combined,10432,51.0,49.0,58.1,38.2,34.4
2007,Melanoma of the skin,Persons,All ages combined,10440,50.1,47.7,56.6,37.2,33.4
2008,Melanoma of the skin,Persons,All ages combined,11136,52.4,49.6,58.9,38.6,34.7
2009,Melanoma of the skin,Persons,All ages combined,11312,52.1,49.3,58.8,38.2,34.3
2010,Melanoma of the skin,Persons,All ages combined,11513,52.3,48.9,58.6,37.6,33.8
2011,Melanoma of the skin,Persons,All ages combined,11645,52.1,48.1,57.8,37.2,33.5
2012,Melanoma of the skin,Persons,All ages combined,12239,53.8,49.5,59.4,38.1,34.3
2013,Melanoma of the skin,Persons,All ages combined,12873,55.7,50.8,61.3,38.9,34.9
2014,Melanoma of the skin,Persons,All ages combined,13204,56.2,51.0,61.4,38.9,34.8
2015,Melanoma of the skin,Persons,All ages combined,13725,57.6,51.9,62.6,39.6,35.5
2016,Melanoma of the skin,Persons,All ages combined,14537,60.1,53.7,64.7,41.1,36.9
2017,Melanoma of the skin,Persons,All ages combined,14962,60.8,54.0,65.1,41.1,36.8
2018,Melanoma of the skin,Persons,All ages combined,15135,60.6,53.4,64.4,40.7,36.5
2019,Melanoma of the skin,Persons,All ages combined,15628,61.7,53.8,65.0,40.9,36.6
